"nmf_type","fixW","beta","addedCompW","noise","noise.lvl","Sample","F","P","R"
"NMF","semi",3,0,"None",0,6,0.68,0.52,0.96
"NMF","semi",3,0,"None",0,17,0.6,0.49,0.76
"NMF","semi",3,0,"None",0,1,0.94,0.91,0.97
"NMF","semi",3,0,"None",0,10,0.9,0.97,0.84
"NMF","semi",3,0,"None",0,19,0.88,0.8,0.97
"NMF","semi",3,0,"None",0,8,0.95,0.95,0.95
"NMF","semi",3,0,"None",0,4,0.91,0.83,1
"NMF","semi",3,0,"None",0,15,0.72,0.56,1
"NMF","semi",3,0,"None",0,3,0.87,1,0.77
"NMF","semi",3,0,"None",0,12,0.69,0.58,0.85
"NMF","semi",3,0,"None",0,2,0.74,0.88,0.64
"NMF","semi",3,0,"None",0,13,0.62,0.63,0.61
"NMF","semi",3,0,"None",0,5,0.87,0.82,0.92
"NMF","semi",3,0,"None",0,14,0.76,0.64,0.93
"NMF","semi",4,0,"None",0,20,0.66,0.53,0.87
"NMF","semi",4,0,"None",0,18,0.72,0.64,0.83
"NMF","semi",4,0,"None",0,9,0.93,1,0.88
"NMF","semi",4,0,"None",0,11,0.82,0.83,0.8
"NMF","semi",4,0,"None",0,7,0.83,0.92,0.75
"NMF","semi",4,0,"None",0,16,0.68,0.54,0.91
"NMF","semi",4,0,"None",0,6,0.7,0.55,0.96
"NMF","semi",4,0,"None",0,17,0.58,0.48,0.76
"NMF","semi",4,0,"None",0,1,0.95,0.94,0.97
"NMF","semi",4,0,"None",0,10,0.9,0.97,0.84
"NMF","semi",4,0,"None",0,19,0.93,0.87,1
"NMF","semi",4,0,"None",0,8,0.95,0.95,0.95
"NMF","semi",4,0,"None",0,4,0.91,0.83,1
"NMF","semi",4,0,"None",0,15,0.72,0.56,1
"NMF","semi",4,0,"None",0,3,0.87,1,0.77
"NMF","semi",4,0,"None",0,12,0.69,0.58,0.85
"NMF","semi",4,0,"None",0,2,0.74,0.88,0.64
"NMF","semi",4,0,"None",0,13,0.63,0.64,0.62
"NMF","semi",4,0,"None",0,5,0.87,0.82,0.92
"NMF","semi",4,0,"None",0,14,0.9,1,0.81
"NMF","semi",5,0,"None",0,20,0.82,0.71,0.96
"NMF","semi",5,0,"None",0,18,0.7,0.69,0.71
"NMF","semi",5,0,"None",0,9,0.93,1,0.88
"NMF","semi",5,0,"None",0,11,0.82,0.83,0.8
"NMF","semi",5,0,"None",0,7,0.83,0.92,0.75
"NMF","semi",5,0,"None",0,16,0.68,0.54,0.91
"NMF","semi",5,0,"None",0,6,0.81,0.68,1
"NMF","semi",5,0,"None",0,17,0.62,0.5,0.82
"NMF","semi",5,0,"None",0,1,0.95,0.94,0.97
"NMF","semi",5,0,"None",0,10,0.9,0.97,0.84
"NMF","semi",5,0,"None",0,19,0.93,0.87,1
"NMF","semi",5,0,"None",0,8,0.95,0.95,0.95
"NMF","semi",5,0,"None",0,4,0.91,0.83,1
"NMF","semi",5,0,"None",0,15,0.72,0.56,1
"NMF","semi",5,0,"None",0,3,0.87,1,0.77
"NMF","semi",5,0,"None",0,12,0.69,0.58,0.85
"NMF","semi",5,0,"None",0,2,0.74,0.88,0.64
"NMF","semi",5,0,"None",0,13,0.62,0.65,0.6
"NMF","semi",5,0,"None",0,5,0.87,0.82,0.92
"NMF","semi",5,0,"None",0,14,0.9,1,0.81
"NMF","semi",6,0,"None",0,20,0.82,0.71,0.96
"NMF","semi",6,0,"None",0,18,0.7,0.69,0.71
"NMF","semi",6,0,"None",0,9,0.93,1,0.88
"NMF","semi",6,0,"None",0,11,0.82,0.83,0.8
"NMF","semi",6,0,"None",0,7,0.83,0.92,0.75
"NMF","semi",6,0,"None",0,16,0.83,0.8,0.87
"NMF","semi",6,0,"None",0,6,0.81,0.68,1
"NMF","semi",6,0,"None",0,17,0.81,0.78,0.84
"NMF","semi",6,0,"None",0,1,0.95,0.94,0.97
"NMF","semi",6,0,"None",0,10,0.89,0.97,0.82
"NMF","semi",6,0,"None",0,19,0.93,0.87,1
"NMF","semi",6,0,"None",0,8,0.95,0.95,0.95
"NMF","semi",6,0,"None",0,4,0.91,0.83,1
"NMF","semi",6,0,"None",0,15,0.72,0.56,1
"NMF","semi",6,0,"None",0,3,0.87,1,0.77
"NMF","semi",6,0,"None",0,12,0.67,0.57,0.82
"NMF","semi",6,0,"None",0,2,0.74,0.88,0.64
"NMF","semi",6,0,"None",0,13,0.62,0.65,0.6
"NMF","semi",6,0,"None",0,5,0.87,0.82,0.92
"NMF","semi",6,0,"None",0,14,0.9,1,0.81
